name,latitude,longitude,TSR,total products,product names,Core Publisher,Composer Pro,Springboard Donation Forms
KWIT-FM,42.464404,-96.333242,811146,12,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Live Streaming, Springboard Donation Forms",1,1,1
WDET-FM,42.348495,-83.0603,3908259,28,"Analytics, Quick Pledge, Pulse, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Sound Exchange Reporting, Composer 2, Coaching & Development Conference, NPR Music Video Platform, NPR Music Training, Distribution Streaming, MSA > Music Bundle, Distribution: Connected Platforms, Exact Target Email Marketing, Station Connect API, Distribution: NPR One app, Distribution: NPR.org and apps, NPR Music Content, Springboard Donation Forms, Schedule and stream API, Distribution: iTunes Radio",1,0,1
WBUR-FM,42.347618,-71.000288,25677966,26,"Analytics, Analytics Service: Chartbeat, Analytics Service: Google Premium, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, MSA > News Bundle, Story API, NPR News Content & Marks, Core Publisher, Live Streaming, Composer 2, MSA > Music Bundle, Distribution: NPR.org and apps, Exact Target Email Marketing, Springboard Donation Forms, Schedule and stream API, NPR Music Content, NPR Music Training, NPR Music Video Platform, Distribution Streaming, Distribution: Connected Platforms, Station Connect API, Distribution: iTunes Radio, Distribution: NPR One app",0,0,1
WGBH-FM,42.34635,-71.202676,7521996,12,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Sound Exchange Reporting, Composer Pro, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Distribution: NPR One app",1,1,0
WEMU-FM,42.272853,-83.570964,1833277,20,"Story API, MSA > News Bundle, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Pulse, Live Streaming, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app, Springboard Donation Forms",1,1,1
WMUK-FM,42.260941,-85.612648,1420527,11,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Distribution: iTunes Radio",1,1,0
WUOM-FM,42.247586,-83.826088,7043346,20,"Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Triton Webcast Metrics, Mobile Site, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Composer Pro, Events, NPR News Content & Marks, Story API, MSA > News Bundle, Live Streaming, Sound Exchange Reporting, Distribution: iTunes Radio, Distribution: NPR One app, Springboard Donation Forms",1,1,1
KSOR-FM,42.199032,-122.456297,2227106,12,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Distribution: iTunes Radio",1,1,0
WFCR-FM,42.103483,-72.589219,5453042,17,"NPR News Content & Marks, Story API, MSA > News Bundle, Quick Pledge, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
WSKG-FM,42.101765,-75.906578,1895195,8,"Analytics, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Google Premium, Core Publisher",1,1,0
WQLN-FM,42.049417,-80.042315,652085,2,"Sound Exchange Reporting, Coaching & Development Webinars",0,0,0
WNIJ-FM,41.89322,-88.768638,1607130,30,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Triton Webcast Metrics, MSA > Music Bundle, NPR Music Content, Distribution: NPR.org and apps, Distribution: NPR One app, NPR Music Video Platform, Schedule and stream API, Distribution: Connected Platforms, Distribution Streaming, NPR Music Training, Station Connect API, Exact Target Email Marketing, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
WBEZ-FM,41.892509,-87.61617,20864961,14,"Coaching & Development Webinars, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Live Streaming, Sound Exchange Reporting, Composer 2, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app",0,0,0
WHDD-FM,41.869189,-73.441593,493343,26,"Story API, MSA > News Bundle, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, NPR Music Content, Distribution: NPR.org and apps, Distribution: NPR One app, MSA > Music Bundle, Exact Target Email Marketing, Springboard Donation Forms, NPR Music Training, Schedule and stream API, Distribution: Connected Platforms, NPR Music Video Platform, Station Connect API, Distribution Streaming, Distribution: iTunes Radio",1,0,1
WRNI-FM,41.816736,-71.409156,2656813,19,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Quick Pledge, Live Streaming, Composer Pro, Coaching & Development Conference, Coaching & Development Webinars, Distribution: iTunes Radio, Distribution: NPR One app, Springboard Donation Forms",1,1,1
WVPE-FM,41.72043,-85.981534,1273055,11,"Distribution: iTunes Radio, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Events, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference",1,0,0
KUSU-FM,41.657733,-111.843444,1132760,14,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Springboard Donation Forms",1,1,1
WGTE-FM,41.599316,-83.629522,998964,26,"Coaching & Development Webinars, Live Streaming, Analytics Service: Triton Webcast Metrics, Analytics, Distribution: iTunes Radio, Story API, MSA > News Bundle, NPR News Content & Marks, Coaching & Development Conference, Sound Exchange Reporting, Composer 2, Analytics Service: Google Premium, Analytics Service: Chartbeat, Core Publisher, Distribution: NPR.org and apps, Station Connect API, MSA > Music Bundle, Distribution: Connected Platforms, Distribution: NPR One app, Schedule and stream API, Springboard Donation Forms, NPR Music Training, NPR Music Content, Distribution Streaming, NPR Music Video Platform, Exact Target Email Marketing",1,0,1
WOI-FM,41.577467,-93.677536,6483124,11,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Springboard Donation Forms",1,1,1
WCPN-FM,41.496341,-81.671991,6368291,26,"Analytics Service: Google Premium, Analytics, Core Publisher, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Distribution: iTunes Radio, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Chartbeat, Live Streaming, Sound Exchange Reporting, Coaching & Development Conference, NPR Music Content, Station Connect API, Distribution: NPR One app, Springboard Donation Forms, NPR Music Video Platform, Distribution Streaming, Distribution: Connected Platforms, Distribution: NPR.org and apps, MSA > Music Bundle, Exact Target Email Marketing, NPR Music Training, Schedule and stream API",1,0,1
WVIK-FM,41.489857,-90.573071,991364,26,"Coaching & Development Webinars, MSA > Music Bundle, Distribution Streaming, Schedule and stream API, Distribution: Connected Platforms, NPR Music Training, NPR Music Video Platform, Station Connect API, Distribution: NPR One app, NPR Music Content, Distribution: NPR.org and apps, Exact Target Email Marketing, Story API, MSA > News Bundle, NPR News Content & Marks, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Sound Exchange Reporting, Distribution: iTunes Radio, Springboard Donation Forms",1,0,1
